1.544427
20.0071	17.4867	0.3414
20.0212	17.5533	0.3421
20.0353	17.9267	0.3457
20.0495	17.7200	0.3437
20.0636	17.5467	0.3420
20.0777	17.4667	0.3412
20.0919	17.4533	0.3411
20.1060	17.9533	0.3460
20.1201	17.5133	0.3417
20.1343	17.7733	0.3442
20.1484	17.6800	0.3433
20.1625	17.3733	0.3403
20.1767	17.2933	0.3395
20.1908	17.4867	0.3414
20.2049	17.9733	0.3462
20.2191	17.0800	0.3374
20.2332	17.6200	0.3427
20.2473	17.2533	0.3391
20.2615	17.1667	0.3383
20.2756	17.2067	0.3387
20.2897	17.3933	0.3405
20.3039	17.6000	0.3425
20.3180	17.6467	0.3430
20.3321	18.1133	0.3475
20.3463	17.5600	0.3422
20.3604	17.6933	0.3434
20.3745	17.5667	0.3422
20.3887	17.6333	0.3429
20.4028	16.5533	0.3322
20.4169	17.5000	0.3416
20.4310	17.0067	0.3367
20.4452	16.9667	0.3363
20.4593	17.8733	0.3452
20.4734	16.9400	0.3361
20.4876	16.9600	0.3363
20.5017	17.2667	0.3393
20.5158	17.6200	0.3427
20.5300	17.4733	0.3413
20.5441	17.4400	0.3410
20.5582	16.8400	0.3351
20.5724	17.3600	0.3402
20.5865	17.6933	0.3434
20.6006	16.7800	0.3345
20.6148	17.5200	0.3418
20.6289	17.5533	0.3421
20.6430	17.3067	0.3397
20.6572	16.8800	0.3355
20.6713	16.9933	0.3366
20.6854	17.1467	0.3381
20.6996	17.1800	0.3384
20.7137	16.9333	0.3360
20.7278	17.2067	0.3387
20.7420	17.5133	0.3417
20.7561	17.0733	0.3374
20.7702	17.1267	0.3379
20.7844	17.1267	0.3379
20.7985	17.2067	0.3387
20.8126	16.8133	0.3348
20.8268	16.4933	0.3316
20.8409	16.6800	0.3335
20.8550	16.9733	0.3364
20.8692	16.8333	0.3350
20.8833	16.9533	0.3362
20.8974	17.1467	0.3381
20.9116	17.0400	0.3370
20.9257	16.6533	0.3332
20.9398	16.8867	0.3355
20.9540	17.2933	0.3395
20.9681	16.7867	0.3345
20.9822	16.6067	0.3327
20.9964	17.0067	0.3367
21.0105	16.6000	0.3327
21.0246	16.7333	0.3340
21.0388	16.3000	0.3296
21.0529	17.6333	0.3429
21.0670	16.0000	0.3266
21.0812	16.5733	0.3324
21.0953	16.0800	0.3274
21.1094	16.7333	0.3340
21.1236	16.5733	0.3324
21.1377	16.0133	0.3267
21.1518	15.6867	0.3234
21.1660	15.8267	0.3248
21.1801	16.9533	0.3362
21.1942	16.3333	0.3300
21.2084	16.5533	0.3322
21.2225	16.2333	0.3290
21.2366	16.2533	0.3292
21.2508	15.9733	0.3263
21.2649	16.3533	0.3302
21.2790	16.2133	0.3288
21.2931	16.1000	0.3276
21.3073	16.3133	0.3298
21.3214	16.1533	0.3282
21.3355	16.9733	0.3364
21.3497	16.9733	0.3364
21.3638	16.5267	0.3319
21.3779	16.5133	0.3318
21.3921	15.8467	0.3250
21.4062	16.2800	0.3294
21.4203	16.0733	0.3273
21.4345	15.9733	0.3263
21.4486	16.7733	0.3344
21.4627	16.7600	0.3343
21.4769	16.0533	0.3271
21.4910	16.2800	0.3294
21.5051	16.0267	0.3269
21.5193	16.5400	0.3321
21.5334	15.8667	0.3252
21.5475	15.6800	0.3233
21.5617	16.0800	0.3274
21.5758	16.4200	0.3309
21.5899	16.1933	0.3286
21.6041	16.3000	0.3296
21.6182	16.1400	0.3280
21.6323	15.8733	0.3253
21.6465	15.8067	0.3246
21.6606	16.1800	0.3284
21.6747	16.1200	0.3278
21.6889	16.1000	0.3276
21.7030	15.6267	0.3228
21.7171	15.9267	0.3258
21.7313	16.2400	0.3290
21.7454	16.0267	0.3269
21.7595	16.0867	0.3275
21.7737	16.0267	0.3269
21.7878	15.7267	0.3238
21.8019	16.2533	0.3292
21.8161	16.1933	0.3286
21.8302	16.0733	0.3273
21.8443	16.3133	0.3298
21.8585	16.0667	0.3273
21.8726	16.1067	0.3277
21.8867	16.2533	0.3292
21.9009	16.4400	0.3311
21.9150	16.4800	0.3315
21.9291	15.7467	0.3240
21.9433	15.6467	0.3230
21.9574	15.9600	0.3262
21.9715	15.8600	0.3252
21.9857	16.4467	0.3311
21.9998	15.8000	0.3246
22.0139	15.7000	0.3235
22.0281	15.8000	0.3246
22.0422	15.5867	0.3224
22.0563	15.7133	0.3237
22.0705	16.5400	0.3321
22.0846	15.6400	0.3229
22.0987	15.4600	0.3210
22.1129	16.0133	0.3267
22.1270	15.9267	0.3258
22.1411	15.9733	0.3263
22.1552	15.5733	0.3222
22.1694	15.7200	0.3237
22.1835	15.6733	0.3232
22.1976	15.7867	0.3244
22.2118	15.4467	0.3209
22.2259	15.2667	0.3190
22.2400	15.3933	0.3203
22.2542	15.4067	0.3205
22.2683	15.6533	0.3230
22.2824	15.4000	0.3204
22.2966	15.2000	0.3183
22.3107	15.3267	0.3197
22.3248	15.4600	0.3210
22.3390	15.4533	0.3210
22.3531	15.7533	0.3241
22.3672	15.5133	0.3216
22.3814	15.4867	0.3213
22.3955	15.8933	0.3255
22.4096	15.6333	0.3228
22.4238	15.6333	0.3228
22.4379	16.1333	0.3280
22.4520	15.9733	0.3263
22.4662	15.1467	0.3178
22.4803	14.9067	0.3152
22.4944	15.6867	0.3234
22.5086	15.3200	0.3196
22.5227	15.3133	0.3195
22.5368	15.6667	0.3232
22.5510	15.2533	0.3189
22.5651	15.4933	0.3214
22.5792	15.6400	0.3229
22.5934	15.5400	0.3219
22.6075	15.3333	0.3197
22.6216	15.3200	0.3196
